plant_id,host,treatment,nodule_id,nodule_area
14,Nan,187,5,0.015
194,AcS,4,1,0.015
194,AcS,4,2,0.04
194,AcS,4,3,0.023
62,Bic,156,1,0.022
106,Suc,131,1,0.593
106,Suc,131,2,0.033
106,Suc,131,3,0.029
106,Suc,131,4,0.009
106,Suc,131,5,0.088
106,Suc,131,6,0.061
106,Suc,131,7,0.02
106,Suc,131,8,0.031
106,Suc,131,9,0.019
106,Suc,131,10,0.013
106,Suc,131,11,0.013
106,Suc,131,12,0.025
78,Suc,2,1,0.04
78,Suc,2,2,0.037
78,Suc,2,3,0.011
78,Suc,2,4,0.006
78,Suc,2,5,0.008
195,AcS,4,1,0.037
195,AcS,4,2,0.035
15,Nan,187,1,0.018
15,Nan,187,2,0.011
15,Nan,187,3,0.049
15,Nan,187,4,0.033
15,Nan,187,5,0.047
15,Nan,187,6,0.063
15,Nan,187,7,0.008
34,AcS,156,1,0.023
34,AcS,156,2,0.028
34,AcS,156,3,0.019
34,AcS,156,4,0.013
34,AcS,156,5,0.006
197,AcS,4,1,0.012
197,AcS,4,2,0.007
110,Suc,131,1,0.12
110,Suc,131,2,0.046
110,Suc,131,3,0.059
110,Suc,131,4,0.025
110,Suc,131,5,0.024
110,Suc,131,6,0.021
110,Suc,131,7,0.029
110,Suc,131,8,0.025
110,Suc,131,9,0.013
110,Suc,131,10,0.029
110,Suc,131,11,0.012
110,Suc,131,12,0.012
110,Suc,131,13,0.029
110,Suc,131,14,0.01
110,Suc,131,15,0.009
110,Suc,131,16,0.017
110,Suc,131,17,0.01
110,Suc,131,18,0.003
110,Suc,131,19,0.013
110,Suc,131,20,0.014
237,Suc,186,1,0.05
237,Suc,186,2,0.071
237,Suc,186,3,0.042
237,Suc,186,4,0.08
237,Suc,186,5,0.017
237,Suc,186,6,0.014
237,Suc,186,7,0.035
237,Suc,186,8,0.044
237,Suc,186,9,0.078
237,Suc,186,10,0.022
237,Suc,186,11,0.036
237,Suc,186,12,0.012
237,Suc,186,13,0.029
237,Suc,186,14,0.016
3,AcS,187,1,0.008
3,AcS,187,2,0.009
3,AcS,187,3,0.01
3,AcS,187,4,0.009
3,AcS,187,5,0.008
249,Nan,186,1,0.01
249,Nan,186,2,0.039
249,Nan,186,3,0.03
249,Nan,186,4,0.041
249,Nan,186,5,0.013
249,Nan,186,6,0.024
249,Nan,186,7,0.052
249,Nan,186,8,0.009
249,Nan,186,9,0.022
249,Nan,186,10,0.01
249,Nan,186,11,0.013
68,AcS,2,1,0.016
244,Nan,186,1,0.026
244,Nan,186,2,0.012
244,Nan,186,3,0.006
244,Nan,186,4,0.011
244,Nan,186,5,0.011
244,Nan,186,6,0.01
244,Nan,186,7,0.009
244,Nan,186,8,0.017
244,Nan,186,9,0.014
244,Nan,186,10,0.014
250,Nan,186,1,0.016
250,Nan,186,2,0.01
250,Nan,186,3,0.01
250,Nan,186,4,0.006
250,Nan,186,5,0.017
250,Nan,186,6,0.011
250,Nan,186,7,0.013
250,Nan,186,8,0.013
250,Nan,186,9,0.022
250,Nan,186,10,0.026
250,Nan,186,11,0.025
250,Nan,186,12,0.015
250,Nan,186,13,0.043
250,Nan,186,14,0.027
109,Suc,131,1,0.244
109,Suc,131,2,0.215
183,Nan,4,1,0.01
183,Nan,4,2,0.012
183,Nan,4,3,0.006
245,Nan,186,1,0.013
245,Nan,186,2,0.009
245,Nan,186,3,0.008
245,Nan,186,4,0.009
245,Nan,186,5,0.003
245,Nan,186,6,0.008
245,Nan,186,7,0.007
70,AcS,2,1,0.025
70,AcS,2,2,0.012
70,AcS,2,3,0.009
72,AcS,2,1,0.021
72,AcS,2,2,0.026
72,AcS,2,3,0.015
72,AcS,2,4,0.013
72,AcS,2,5,0.009
72,AcS,2,6,0.034
72,AcS,2,7,0.007
72,AcS,2,8,0.009
72,AcS,2,9,0.005
72,AcS,2,10,0.005
72,AcS,2,11,0.006
247,Nan,186,1,0.012
247,Nan,186,2,0.013
247,Nan,186,3,0.057
247,Nan,186,4,0.021
247,Nan,186,5,0.004
247,Nan,186,6,0.063
247,Nan,186,7,0.017
247,Nan,186,8,0.051
247,Nan,186,9,0.047
247,Nan,186,10,0.048
247,Nan,186,11,0.066
247,Nan,186,12,0.112
247,Nan,186,13,0.011
247,Nan,186,14,0.044
39,AcS,156,1,0.015
39,AcS,156,2,0.009
39,AcS,156,3,0.006
39,AcS,156,4,0.023
39,AcS,156,5,0.015
39,AcS,156,6,0.032
39,AcS,156,7,0.008
39,AcS,156,8,0.037
39,AcS,156,9,0.009
18,Nan,187,1,0.023
18,Nan,187,2,0.053
18,Nan,187,3,0.047
18,Nan,187,4,0.023
18,Nan,187,5,0.017
18,Nan,187,6,0.02
18,Nan,187,7,0.011
18,Nan,187,8,0.011
18,Nan,187,9,0.008
18,Nan,187,10,0.035
75,Suc,2,1,0.281
75,Suc,2,2,0.056
75,Suc,2,3,0.048
75,Suc,2,4,0.031
75,Suc,2,5,0.017
75,Suc,2,6,0.018
75,Suc,2,7,0.038
75,Suc,2,8,0.032
75,Suc,2,9,0.115
75,Suc,2,10,0.018
75,Suc,2,11,0.019
75,Suc,2,12,0.021
75,Suc,2,13,0.064
