Plant_ID,Host,Treatment,RootMass_g,ShootMass_g
179,Nan,4,0.014,0.0344
180,Nan,4,0.014,0.0319
181,Nan,4,0.0246,0.0412
182,Nan,4,0.0132,0.031
183,Nan,4,0.0298,0.0295
184,Nan,4,0.0167,0.0397
185,Suc,4,0.0535,0.083
186,Suc,4,0.0347,0.0613
187,Suc,4,0.0759,0.0731
188,Suc,4,0.0351,0.0705
189,Suc,4,0.068,0.0979
190,Suc,4,0.0366,0.0781
191,Suc,4,0.0558,0.1043
192,AcS,4,0.0011,0.0017
193,AcS,4,0.0023,0.0068
194,AcS,4,0.0017,0.0071
195,AcS,4,0.0026,0.0067
196,AcS,4,0.0017,0.0003
197,AcS,4,0.0009,0.001
198,Bic,H2O,0.0143,0.0093
199,Bic,H2O,0.0073,0.004
200,Bic,H2O,0.0065,0.0089
201,Bic,H2O,0.0041,0.0072
202,Bic,H2O,0.0042,0.0034
203,Bic,H2O,0.0038,0.0075
204,AcW,H2O,0.0064,0.0066
205,AcW,H2O,0.0114,0.0086
206,AcW,H2O,0.0089,0.0079
207,AcW,H2O,0.0129,0.0105
208,AcW,H2O,0.0069,0.0071
209,AcW,H2O,0.01,0.0089
210,AcW,H2O,NA,NA
211,Nan,H2O,0.019,0.0627
212,Nan,H2O,0.0257,0.044
213,Nan,H2O,0.0152,0.0601
214,Nan,H2O,0.0169,0.0533
215,Nan,H2O,0.0217,0.044
216,Nan,H2O,0.0248,0.0435
217,Nan,H2O,0.0364,0.0695
218,Suc,H2O,0.0145,0.0514
219,Suc,H2O,0.0516,0.1243
220,Suc,H2O,0.0281,0.0533
221,Suc,H2O,0.0459,0.1048
222,Suc,H2O,0.0175,0.0558
223,Suc,H2O,0.0447,0.1149
224,Suc,H2O,0.0338,0.128
225,AcS,H2O,0.002,0.0015
226,AcS,H2O,0.0017,0.001
227,AcS,H2O,0.0008,0.0005
228,AcS,H2O,0.0012,0.0008
229,AcS,H2O,0.0032,0.003
230,AcS,H2O,0.0008,0.0007
231,AcS,186,0.0005,0.0025
232,AcS,186,0.0012,0.0025
233,AcS,186,0.0012,0.0016
234,AcS,186,0.0035,0.0089
235,AcS,186,0.003,0.0118
236,AcS,186,0.0015,0.0008
237,Suc,186,0.0556,0.1405
238,Suc,186,0.0418,0.0527
239,Suc,186,0.1199,0.1043
240,Suc,186,0.0227,0.072
241,Suc,186,0.0299,0.108
242,Suc,186,0.0509,0.0969
243,Suc,186,0.0694,0.1378
244,Nan,186,0.0242,0.0456
245,Nan,186,0.0188,0.0411
246,Nan,186,0.023,0.0454
247,Nan,186,0.0187,0.0633
248,Nan,186,0.0083,0.0325
